cpu_pct,gpu_power_w,gpu_sm_mhz,gpu_temp_c,gpu_util_pct,loadavg1,mem_avail_gib,rss_gib,t
11.79,4.78,214.0,47.0,0.0,0.60986328125,113.21,0.897,2.0
5.75,4.72,214.0,47.0,1.0,0.60986328125,113.07,1.094,4.05
23.19,4.82,208.0,47.0,0.0,1.20166015625,112.68,7.364,6.09
16.94,5.8,208.0,47.0,0.0,1.20166015625,112.77,1.423,8.13
6.4,12.37,2392.0,48.0,2.0,1.20166015625,111.8,1.8,10.17
6.5,12.34,2392.0,48.0,1.0,1.265625,111.24,2.07,12.21
6.68,12.32,2392.0,48.0,1.0,1.265625,110.69,2.33,14.25
6.58,12.27,2392.0,48.0,1.0,1.244140625,110.63,1.879,16.28
5.49,51.75,2398.0,55.0,96.0,1.244140625,108.55,1.815,18.32
5.74,51.86,2385.0,58.0,96.0,1.244140625,105.78,2.129,20.36
5.76,54.74,2398.0,56.0,96.0,1.22412109375,105.02,2.133,22.41
5.67,54.91,2392.0,60.0,96.0,1.22412109375,105.02,2.143,24.45
5.57,54.35,2392.0,58.0,95.0,1.2060546875,105.03,2.149,26.5
5.76,57.78,2398.0,60.0,96.0,1.2060546875,104.47,2.151,28.56
5.68,54.67,2398.0,60.0,96.0,1.2060546875,104.48,2.156,30.61
5.79,57.07,2392.0,63.0,96.0,1.189453125,103.59,2.159,32.65
5.66,52.66,2405.0,57.0,96.0,1.189453125,103.6,2.163,34.69
5.87,55.56,2398.0,61.0,96.0,1.173828125,103.61,2.164,36.74
6.78,55.96,2398.0,60.0,96.0,1.173828125,103.7,2.166,38.79
5.72,56.44,2405.0,57.0,96.0,1.15966796875,103.7,2.169,40.84
5.65,57.09,2398.0,62.0,96.0,1.15966796875,103.7,2.171,42.88
5.71,61.01,2405.0,62.0,96.0,1.15966796875,103.7,2.173,44.92
5.68,54.63,2405.0,61.0,93.0,1.146484375,103.7,2.178,46.97
5.74,61.35,2405.0,62.0,96.0,1.146484375,103.71,2.18,49.02
5.77,59.55,2398.0,63.0,96.0,1.13427734375,103.72,2.18,51.08
5.82,56.05,2405.0,65.0,94.0,1.13427734375,103.73,2.183,53.13
5.97,61.36,2405.0,64.0,96.0,1.13427734375,103.72,2.185,55.17
5.69,57.11,2405.0,66.0,96.0,1.123046875,103.72,2.187,57.22
5.84,53.81,2405.0,64.0,96.0,1.123046875,103.73,2.187,59.27
5.71,56.48,2398.0,65.0,96.0,1.11279296875,103.74,2.188,61.32
5.68,58.58,2405.0,67.0,96.0,1.11279296875,103.74,2.19,63.37
5.77,56.63,2392.0,66.0,96.0,1.11279296875,103.73,2.191,65.41
5.8,60.6,2405.0,66.0,96.0,1.103515625,103.74,2.193,67.46
5.55,58.11,2405.0,66.0,96.0,1.103515625,103.74,2.193,69.51
5.78,56.07,2398.0,66.0,94.0,1.17578125,103.75,2.196,71.55
5.77,56.76,2392.0,68.0,96.0,1.17578125,103.75,2.196,73.6
5.69,57.88,2405.0,65.0,96.0,1.17578125,103.75,2.197,75.66
5.77,58.99,2405.0,67.0,96.0,1.322265625,103.75,2.197,77.72
5.79,56.09,2405.0,68.0,96.0,1.322265625,103.74,2.2,79.77
5.78,56.01,2405.0,68.0,96.0,1.376953125,103.74,2.201,81.82
5.66,55.84,2392.0,68.0,96.0,1.376953125,103.74,2.201,83.87
5.94,57.38,2405.0,68.0,96.0,1.3466796875,103.73,2.202,85.92
5.83,60.32,2392.0,68.0,96.0,1.3466796875,103.73,2.202,87.97
5.68,61.62,2398.0,69.0,96.0,1.3466796875,103.73,2.203,90.02
5.73,59.47,2398.0,69.0,96.0,1.31884765625,103.73,2.203,92.06
5.98,59.56,2398.0,69.0,96.0,1.31884765625,103.73,2.203,94.12
5.7,58.06,2392.0,71.0,96.0,1.29296875,103.74,2.204,96.16
5.98,56.28,2398.0,69.0,96.0,1.29296875,103.73,2.204,98.2
6.89,56.92,2398.0,70.0,96.0,1.29296875,103.74,2.204,100.26
6.81,56.6,2392.0,69.0,96.0,1.26904296875,103.73,2.206,102.33
6.35,60.0,2398.0,70.0,96.0,1.26904296875,103.73,2.207,104.37
6.41,57.91,2398.0,66.0,96.0,1.2470703125,103.73,2.208,106.43
6.59,55.22,2398.0,70.0,93.0,1.2470703125,103.72,2.208,108.48
5.82,59.6,2398.0,71.0,96.0,1.2470703125,103.07,2.209,110.58
5.89,59.21,2405.0,72.0,96.0,1.22705078125,103.07,2.209,112.63
6.23,60.37,2398.0,71.0,96.0,1.22705078125,103.07,2.209,114.68
6.42,59.0,2385.0,72.0,96.0,1.20849609375,103.08,2.21,116.73
6.26,57.64,2398.0,71.0,96.0,1.20849609375,103.07,2.21,118.79
5.75,61.13,2398.0,71.0,96.0,1.19140625,103.08,2.21,120.84
6.37,59.99,2398.0,71.0,96.0,1.19140625,103.07,2.211,122.9
5.79,58.68,2392.0,74.0,96.0,1.19140625,103.08,2.211,124.95
13.75,60.75,2398.0,71.0,96.0,1.17578125,103.09,2.211,127.02
5.87,60.14,2405.0,72.0,94.0,1.17578125,103.08,2.212,129.08
5.93,57.61,2405.0,72.0,94.0,1.16162109375,103.08,2.212,131.14
6.35,58.96,2398.0,74.0,96.0,1.16162109375,103.08,2.212,133.2
5.83,59.49,2392.0,72.0,96.0,1.16162109375,103.07,2.213,135.25
14.17,58.16,2392.0,72.0,96.0,1.1484375,103.07,2.213,137.31
5.94,61.03,2398.0,74.0,96.0,1.1484375,103.05,2.213,139.36
5.7,61.55,2392.0,72.0,94.0,1.13623046875,103.05,2.213,141.42
6.82,60.6,2392.0,72.0,96.0,1.13623046875,103.05,2.214,143.47
6.99,58.49,2405.0,73.0,96.0,1.13623046875,103.08,2.214,145.54
6.4,57.28,2398.0,74.0,96.0,1.20556640625,103.08,2.214,147.59
5.83,58.15,2405.0,73.0,96.0,1.20556640625,103.08,2.215,149.66
6.03,61.29,2398.0,73.0,96.0,1.18896484375,102.58,2.215,151.72
6.67,61.03,2398.0,73.0,96.0,1.18896484375,102.55,2.215,153.78
5.68,61.74,2398.0,73.0,96.0,1.173828125,102.57,2.215,155.84
6.13,60.36,2398.0,75.0,96.0,1.173828125,102.56,2.215,157.89
6.42,58.57,2392.0,74.0,96.0,1.173828125,102.57,2.216,159.95
6.44,61.4,2398.0,74.0,96.0,1.15966796875,102.57,2.216,162.01
6.17,60.95,2385.0,73.0,96.0,1.15966796875,102.57,2.217,164.06
5.9,63.24,2392.0,74.0,96.0,1.146484375,102.57,2.217,166.12
6.9,59.65,2392.0,74.0,96.0,1.146484375,102.57,2.217,168.18
