cpu_pct,gpu_power_w,gpu_sm_mhz,gpu_temp_c,gpu_util_pct,loadavg1,mem_avail_gib,rss_gib,t
11.7,5.59,214.0,62.0,0.0,1.25732421875,113.24,0.877,2.0
5.57,5.51,208.0,62.0,0.0,1.25732421875,113.07,1.1,4.05
5.89,5.39,208.0,61.0,0.0,1.25732421875,113.06,1.16,6.09
5.57,5.37,208.0,61.0,0.0,1.236328125,113.06,1.224,8.14
5.51,5.48,208.0,61.0,0.0,1.236328125,113.07,1.278,10.18
5.5,5.25,208.0,61.0,0.0,1.21728515625,113.07,1.333,12.23
5.9,9.68,2385.0,61.0,2.0,1.21728515625,112.26,1.863,14.27
6.53,14.85,2411.0,61.0,2.0,1.3603515625,111.59,2.198,16.31
6.5,14.81,2411.0,61.0,1.0,1.3603515625,110.92,2.508,18.36
6.61,14.81,2411.0,61.0,1.0,1.3603515625,110.3,2.833,20.4
5.88,87.08,2418.0,74.0,96.0,1.3310546875,103.74,2.13,22.44
5.76,76.39,2411.0,73.0,96.0,1.3310546875,107.4,2.134,24.49
5.85,77.47,2411.0,75.0,96.0,1.30419921875,111.52,2.134,26.56
5.85,76.35,2411.0,76.0,96.0,1.30419921875,109.79,2.136,28.64
5.86,76.59,2411.0,76.0,96.0,1.30419921875,108.38,2.136,30.75
5.83,77.12,2411.0,74.0,96.0,1.27978515625,109.06,2.138,32.81
5.79,60.6,2418.0,77.0,96.0,1.27978515625,111.29,2.272,34.86
6.39,15.76,2411.0,65.0,1.0,1.25732421875,110.92,2.609,36.9
6.54,15.63,2411.0,64.0,2.0,1.25732421875,110.39,2.916,38.94
6.45,15.53,2411.0,63.0,2.0,1.25732421875,109.85,3.227,40.98
6.08,88.95,2405.0,74.0,96.0,1.39697265625,104.75,2.155,43.02
6.29,75.7,2405.0,78.0,96.0,1.39697265625,107.17,2.158,45.09
5.71,76.1,2411.0,75.0,96.0,1.36474609375,107.77,2.161,47.15
5.83,71.74,2411.0,77.0,96.0,1.36474609375,111.52,2.164,49.2
5.87,77.79,2411.0,78.0,96.0,1.33544921875,108.75,2.165,51.26
5.91,72.85,2411.0,79.0,96.0,1.33544921875,109.5,2.165,53.33
6.1,16.25,2411.0,67.0,2.0,1.33544921875,111.21,2.426,55.4
6.5,15.94,2411.0,66.0,1.0,1.46875,110.74,2.746,57.44
6.43,15.86,2411.0,65.0,1.0,1.46875,110.21,3.056,59.48
6.34,16.05,2418.0,64.0,1.0,1.43115234375,110.44,2.367,61.52
