cpu_pct,gpu_power_w,gpu_sm_mhz,gpu_temp_c,gpu_util_pct,loadavg1,mem_avail_gib,rss_gib,t
11.79,5.15,208.0,57.0,0.0,0.9345703125,113.54,0.879,2.0
5.68,5.1,208.0,57.0,0.0,0.93994140625,113.36,1.102,4.05
6.17,5.23,208.0,56.0,0.0,0.93994140625,113.36,1.16,6.09
14.3,5.13,208.0,56.0,0.0,0.93994140625,113.35,1.224,8.13
5.56,5.06,208.0,56.0,0.0,0.94482421875,113.34,1.277,10.18
5.71,5.18,208.0,56.0,0.0,0.94482421875,113.35,1.332,12.22
6.84,8.17,2405.0,56.0,3.0,1.02978515625,112.53,1.864,14.27
7.1,13.83,2405.0,56.0,1.0,1.02978515625,111.76,2.202,16.31
7.37,13.84,2405.0,56.0,2.0,1.02978515625,111.04,2.525,18.35
6.58,13.8,2405.0,56.0,1.0,1.02734375,110.49,2.417,20.39
5.59,80.25,2385.0,68.0,96.0,1.02734375,103.85,2.13,22.43
6.62,69.8,2398.0,66.0,96.0,1.02490234375,106.86,2.131,24.48
6.21,69.21,2379.0,71.0,96.0,1.02490234375,108.57,2.134,26.53
5.67,70.25,2379.0,69.0,96.0,1.02490234375,108.01,2.135,28.63
6.0,70.06,2392.0,68.0,96.0,1.0224609375,108.46,2.136,30.69
7.17,67.54,2379.0,64.0,96.0,1.0224609375,110.62,2.138,32.76
6.75,47.39,2405.0,62.0,2.0,1.0205078125,111.36,2.293,34.8
9.95,14.45,2405.0,60.0,1.0,1.0205078125,110.94,2.629,36.84
6.51,14.37,2405.0,60.0,1.0,1.0205078125,110.42,2.935,38.88
6.83,14.35,2405.0,59.0,1.0,1.0185546875,109.87,3.247,40.93
6.87,81.2,2385.0,70.0,96.0,1.0185546875,104.8,2.155,42.96
5.69,68.91,2392.0,73.0,96.0,1.0166015625,107.21,2.158,45.02
5.78,70.45,2398.0,71.0,96.0,1.0166015625,107.81,2.161,47.08
5.77,64.66,2385.0,70.0,96.0,1.01513671875,110.43,2.165,49.14
5.8,65.3,2379.0,68.0,96.0,1.01513671875,111.28,2.166,51.25
7.38,67.39,2392.0,71.0,96.0,1.01513671875,109.57,2.165,53.38
7.88,15.47,2411.0,62.0,2.0,1.09423828125,111.22,2.476,55.44
7.99,15.13,2405.0,62.0,2.0,1.09423828125,110.68,2.82,57.48
8.25,14.98,2405.0,61.0,2.0,1.1669921875,110.08,3.163,59.52
7.51,60.92,2392.0,71.0,0.0,1.1669921875,103.57,2.346,61.56
7.1,75.7,2385.0,72.0,65.0,1.1669921875,104.3,2.347,63.62
6.8,55.07,2385.0,74.0,96.0,1.1533203125,111.04,2.617,65.68
7.72,15.31,2411.0,62.0,2.0,1.1533203125,110.59,2.988,67.72
8.08,15.09,2405.0,61.0,2.0,1.30126953125,110.01,3.333,69.76
8.24,14.93,2405.0,61.0,1.0,1.30126953125,109.78,2.97,71.8
6.81,18.21,2405.0,61.0,1.0,1.30126953125,110.99,2.735,73.84
6.74,14.84,2405.0,61.0,1.0,1.27685546875,110.56,3.019,75.87
6.71,14.42,2405.0,60.0,1.0,1.27685546875,110.06,3.294,77.91
7.28,14.51,2405.0,60.0,1.0,1.25439453125,109.54,3.597,79.95
5.93,80.94,2385.0,71.0,96.0,1.25439453125,103.91,2.494,82.0
5.74,73.24,2379.0,75.0,96.0,1.23388671875,110.19,2.495,84.05
7.04,15.26,2411.0,62.0,2.0,1.23388671875,110.87,2.785,86.13
7.67,14.94,2405.0,61.0,2.0,1.23388671875,110.4,3.111,88.17
7.86,14.46,2405.0,61.0,2.0,1.21484375,109.82,3.435,90.21
7.61,52.61,2405.0,66.0,76.0,1.21484375,103.47,2.496,92.26
6.99,73.0,2379.0,76.0,96.0,1.27783203125,104.24,2.497,94.32
6.82,44.93,2411.0,63.0,96.0,1.27783203125,111.03,2.644,96.37
7.5,15.0,2405.0,61.0,2.0,1.27783203125,110.57,3.013,98.41
7.26,14.89,2405.0,61.0,1.0,1.3359375,109.99,3.335,100.45
7.35,14.94,2405.0,60.0,2.0,1.3359375,110.47,2.495,102.49
6.55,70.17,2385.0,70.0,96.0,1.30859375,110.18,2.499,104.52
6.31,73.88,2385.0,71.0,96.0,1.30859375,109.6,2.498,106.61
6.85,15.4,2411.0,62.0,1.0,1.30859375,110.81,2.835,108.67
6.86,14.9,2405.0,61.0,2.0,1.28369140625,110.34,3.142,110.71
6.54,14.85,2405.0,61.0,1.0,1.28369140625,109.78,3.454,112.75
6.76,41.51,2392.0,70.0,96.0,1.2607421875,104.12,2.498,114.79
6.71,69.32,2379.0,71.0,96.0,1.2607421875,104.88,2.498,116.85
6.92,49.19,2398.0,64.0,1.0,1.2607421875,111.08,2.637,118.91
7.88,15.16,2405.0,61.0,2.0,1.23974609375,110.63,2.998,120.95
7.71,14.98,2405.0,61.0,2.0,1.23974609375,110.03,3.341,122.99
7.03,14.58,2405.0,61.0,2.0,1.22021484375,110.55,2.499,125.03
6.43,69.35,2379.0,75.0,96.0,1.22021484375,109.72,2.503,127.07
6.33,72.58,2379.0,68.0,83.0,1.2021484375,109.41,2.502,129.19
6.92,15.25,2411.0,62.0,2.0,1.2021484375,110.84,2.848,131.24
7.17,15.02,2405.0,61.0,2.0,1.2021484375,110.27,3.185,133.28
6.83,14.96,2405.0,61.0,2.0,1.26611328125,109.7,3.523,135.32
6.69,75.58,2379.0,75.0,96.0,1.26611328125,103.25,2.499,137.36
6.27,80.49,2379.0,76.0,96.0,1.24462890625,103.98,2.5,139.42
6.35,40.26,2405.0,64.0,96.0,1.24462890625,111.04,2.659,141.47
6.98,15.16,2405.0,62.0,2.0,1.24462890625,110.57,3.019,143.51
7.28,14.98,2405.0,61.0,2.0,1.30517578125,109.99,3.354,145.55
7.17,15.13,2405.0,61.0,2.0,1.30517578125,110.54,2.506,147.59
6.16,67.52,2379.0,67.0,96.0,1.2802734375,105.26,2.502,149.67
5.76,67.76,2392.0,71.0,96.0,1.2802734375,109.59,2.5,151.77
7.16,15.41,2411.0,62.0,2.0,1.2802734375,110.8,2.896,153.83
7.34,14.98,2405.0,61.0,2.0,1.2578125,110.23,3.233,155.87
7.23,14.93,2405.0,61.0,2.0,1.2578125,109.61,3.576,157.91
6.49,82.61,2379.0,74.0,96.0,1.23681640625,103.78,2.5,159.95
6.37,79.04,2379.0,73.0,96.0,1.23681640625,106.19,2.5,162.01
6.76,15.58,2411.0,63.0,1.0,1.29833984375,110.92,2.779,164.05
6.96,15.04,2405.0,62.0,2.0,1.29833984375,110.38,3.118,166.09
7.08,15.01,2405.0,61.0,2.0,1.29833984375,109.83,3.449,168.12
7.03,47.21,2405.0,68.0,83.0,1.2744140625,104.21,2.5,170.15
6.38,76.3,2385.0,70.0,96.0,1.2744140625,104.7,2.5,172.2
5.72,39.85,2379.0,66.0,3.0,1.251953125,110.96,2.657,174.23
6.45,15.12,2411.0,62.0,1.0,1.251953125,110.55,2.988,176.27
6.53,14.97,2405.0,61.0,1.0,1.251953125,110.0,3.296,178.3
6.6,14.9,2405.0,61.0,2.0,1.2314453125,109.49,3.603,180.33
5.63,81.71,2385.0,74.0,96.0,1.2314453125,103.23,2.499,182.37
6.0,82.77,2385.0,75.0,96.0,1.29345703125,103.97,2.499,184.41
5.88,34.81,2411.0,63.0,66.0,1.29345703125,110.99,2.678,186.45
6.34,15.07,2405.0,62.0,1.0,1.29345703125,110.55,3.011,188.49
6.36,14.96,2405.0,61.0,1.0,1.43017578125,110.03,3.317,190.52
6.37,14.88,2405.0,61.0,1.0,1.43017578125,109.5,3.633,192.55
5.98,82.56,2379.0,72.0,96.0,1.3955078125,103.05,2.499,194.58
6.81,78.95,2379.0,77.0,96.0,1.3955078125,108.55,2.499,196.63
6.57,31.53,2405.0,64.0,96.0,1.3955078125,110.98,2.7,198.67
6.99,15.1,2405.0,62.0,2.0,1.4443359375,110.48,3.062,200.7
6.94,15.03,2405.0,62.0,2.0,1.4443359375,109.89,3.405,202.74
6.97,32.19,2405.0,61.0,2.0,1.40869140625,104.6,2.505,204.77
6.07,67.9,2392.0,73.0,96.0,1.40869140625,104.09,2.499,206.86
5.75,66.67,2385.0,74.0,96.0,1.40869140625,109.3,2.497,208.9
6.75,15.42,2411.0,62.0,1.0,1.37548828125,110.78,2.888,210.96
7.47,15.07,2405.0,62.0,2.0,1.37548828125,110.22,3.228,212.99
6.98,15.01,2405.0,61.0,2.0,1.34521484375,109.63,3.567,215.03
6.28,81.47,2379.0,72.0,96.0,1.34521484375,103.39,2.497,217.06
6.05,82.86,2379.0,73.0,96.0,1.3173828125,104.13,2.498,219.12
6.45,48.82,2379.0,67.0,46.0,1.3173828125,111.06,2.637,221.18
7.09,15.49,2411.0,62.0,2.0,1.3173828125,110.63,2.995,223.22
6.33,15.21,2411.0,62.0,1.0,1.29150390625,110.08,3.302,225.25
6.49,14.95,2405.0,61.0,2.0,1.29150390625,109.55,3.618,227.28
6.12,82.83,2385.0,74.0,96.0,1.26806640625,103.04,2.498,229.31
5.65,85.19,2379.0,76.0,96.0,1.26806640625,104.1,2.499,231.37
6.02,23.66,2411.0,63.0,1.0,1.26806640625,110.99,2.699,233.43
6.85,15.37,2411.0,62.0,2.0,1.24658203125,110.56,3.031,235.47
7.28,15.13,2405.0,62.0,2.0,1.24658203125,109.96,3.369,237.5
6.53,14.99,2405.0,61.0,1.0,1.2265625,110.52,2.499,239.53
5.75,70.42,2385.0,72.0,96.0,1.2265625,109.17,2.502,241.57
7.06,73.39,2379.0,73.0,96.0,1.2265625,109.15,2.5,243.65
7.4,15.63,2411.0,63.0,1.0,1.28857421875,110.85,2.825,245.71
7.38,15.14,2405.0,62.0,2.0,1.28857421875,110.31,3.167,247.74
7.25,15.03,2405.0,62.0,2.0,1.42578125,109.73,3.504,249.78
7.41,70.44,2398.0,74.0,7.0,1.42578125,103.05,2.5,251.81
6.88,81.83,2379.0,74.0,96.0,1.42578125,104.12,2.501,253.86
6.64,54.49,2411.0,65.0,2.0,1.3916015625,111.07,2.619,255.91
6.54,15.34,2411.0,63.0,1.0,1.3916015625,110.66,2.955,257.95
6.45,14.93,2405.0,62.0,2.0,1.35986328125,110.13,3.264,259.98
7.16,15.02,2405.0,62.0,2.0,1.35986328125,109.57,3.589,262.01
6.42,82.61,2379.0,70.0,96.0,1.35986328125,103.23,2.5,264.05
6.43,85.36,2379.0,77.0,96.0,1.4111328125,103.97,2.501,266.1
5.98,34.25,2411.0,64.0,2.0,1.4111328125,110.96,2.677,268.15
6.63,15.44,2411.0,63.0,2.0,1.3779296875,110.51,3.021,270.18
7.01,15.27,2411.0,62.0,1.0,1.3779296875,109.96,3.337,272.21
6.42,14.91,2405.0,62.0,2.0,1.34765625,109.43,3.649,274.25
5.69,77.18,2379.0,71.0,96.0,1.34765625,107.96,2.5,276.28
6.55,73.54,2379.0,76.0,96.0,1.34765625,109.75,2.5,278.32
7.26,15.55,2411.0,63.0,2.0,1.39990234375,110.8,2.845,280.37
7.25,14.98,2405.0,62.0,2.0,1.39990234375,110.31,3.155,282.41
6.6,14.87,2405.0,62.0,1.0,1.36767578125,109.83,3.418,284.44
6.84,18.58,2405.0,61.0,2.0,1.36767578125,109.6,2.508,286.48
6.58,69.89,2379.0,76.0,96.0,1.36767578125,110.35,2.503,288.59
6.34,74.12,2379.0,76.0,96.0,1.41845703125,111.14,2.503,290.66
7.17,15.66,2411.0,63.0,2.0,1.41845703125,110.97,2.699,292.77
7.57,15.36,2411.0,62.0,2.0,1.384765625,110.54,3.031,294.81
6.59,15.02,2411.0,62.0,1.0,1.384765625,110.07,3.286,296.85
6.57,14.85,2405.0,61.0,2.0,1.384765625,109.64,3.547,298.9
6.92,14.82,2405.0,61.0,2.0,1.43408203125,110.93,2.778,300.94
6.51,14.38,2405.0,61.0,1.0,1.43408203125,110.54,3.042,302.98
6.81,14.41,2405.0,61.0,1.0,1.39892578125,110.1,3.302,305.02
7.23,14.43,2405.0,60.0,2.0,1.39892578125,109.64,3.571,307.06
6.77,16.8,2405.0,60.0,1.0,1.36669921875,110.95,2.738,309.09
6.64,14.29,2405.0,60.0,1.0,1.36669921875,110.56,3.033,311.13
6.63,14.24,2405.0,60.0,1.0,1.36669921875,110.13,3.286,313.17
6.49,14.26,2405.0,59.0,2.0,1.3369140625,109.67,3.54,315.21
6.11,51.1,2392.0,65.0,96.0,1.3369140625,103.37,2.523,317.25
