cpu_pct,gpu_power_w,gpu_sm_mhz,gpu_temp_c,gpu_util_pct,loadavg1,mem_avail_gib,rss_gib,t
11.68,6.66,208.0,61.0,0.0,1.646484375,113.52,0.831,2.0
5.54,6.2,208.0,61.0,0.0,1.646484375,113.36,1.105,4.05
5.64,5.41,208.0,60.0,0.0,1.59423828125,113.35,1.162,6.09
5.52,5.39,208.0,60.0,0.0,1.59423828125,113.34,1.225,8.14
5.52,5.38,208.0,60.0,0.0,1.59423828125,113.34,1.278,10.18
5.57,5.35,208.0,59.0,0.0,1.54638671875,113.34,1.332,12.23
5.79,10.51,2411.0,60.0,1.0,1.54638671875,112.53,1.864,14.27
6.42,14.28,2411.0,60.0,1.0,1.50244140625,111.78,2.194,16.31
6.44,14.24,2405.0,59.0,1.0,1.50244140625,111.14,2.502,18.35
6.46,14.26,2411.0,59.0,1.0,1.4619140625,110.4,2.818,20.39
5.75,90.74,2242.0,73.0,96.0,1.4619140625,96.17,2.067,22.42
5.56,93.46,2268.0,75.0,96.0,1.4619140625,96.17,2.067,24.46
5.56,91.17,2216.0,74.0,96.0,1.4248046875,96.16,2.067,26.5
5.45,73.72,2366.0,71.0,96.0,1.4248046875,101.92,2.075,28.53
5.64,93.35,2138.0,76.0,96.0,1.390625,99.83,2.072,30.63
5.63,93.11,2151.0,77.0,96.0,1.390625,99.83,2.072,32.67
5.56,88.46,2151.0,77.0,96.0,1.390625,101.36,2.075,34.71
5.53,93.34,2145.0,78.0,96.0,1.35888671875,101.37,2.075,36.75
5.51,82.93,2145.0,76.0,96.0,1.35888671875,104.71,2.077,38.79
5.62,92.76,2164.0,77.0,96.0,1.330078125,101.99,2.076,40.87
5.57,82.22,2255.0,70.0,11.0,1.330078125,110.48,2.078,42.91
5.6,93.05,2132.0,77.0,96.0,1.330078125,102.64,2.076,44.99
5.51,84.39,2288.0,71.0,31.0,1.30322265625,106.91,2.079,47.02
5.73,92.78,2138.0,80.0,96.0,1.30322265625,103.35,2.078,49.11
5.58,84.49,2242.0,79.0,96.0,1.27880859375,103.85,2.079,51.15
5.63,92.9,2151.0,78.0,96.0,1.27880859375,103.86,2.079,53.19
5.6,93.91,2119.0,80.0,96.0,1.27880859375,104.27,2.079,55.22
