cpu_pct,gpu_power_w,gpu_sm_mhz,gpu_temp_c,gpu_util_pct,loadavg1,mem_avail_gib,rss_gib,t
11.73,5.89,208.0,67.0,0.0,1.19287109375,113.47,0.876,2.0
5.52,5.8,208.0,66.0,0.0,1.17724609375,113.28,1.102,4.05
5.59,5.68,208.0,66.0,0.0,1.17724609375,113.28,1.161,6.09
5.61,5.66,208.0,65.0,0.0,1.17724609375,113.27,1.225,8.14
5.62,5.59,214.0,64.0,0.0,1.16259765625,113.27,1.279,10.18
5.45,5.52,208.0,64.0,0.0,1.16259765625,113.27,1.334,12.23
5.97,11.53,2411.0,64.0,1.0,1.1494140625,112.41,1.868,14.27
6.62,15.64,2411.0,64.0,1.0,1.1494140625,111.74,2.188,16.31
6.61,15.6,2411.0,64.0,2.0,1.1494140625,111.06,2.498,18.35
6.56,15.45,2411.0,63.0,1.0,1.2978515625,110.38,2.818,20.39
5.85,87.73,2405.0,77.0,96.0,1.2978515625,103.77,2.131,22.43
5.88,76.99,2405.0,74.0,96.0,1.27392578125,108.98,2.134,24.51
5.98,81.82,2411.0,76.0,96.0,1.27392578125,107.15,2.132,26.62
5.72,74.97,2411.0,77.0,96.0,1.33251953125,111.19,2.136,28.67
5.94,77.29,2411.0,76.0,96.0,1.33251953125,108.4,2.136,30.75
5.86,74.49,2411.0,77.0,96.0,1.33251953125,109.07,2.138,32.8
5.73,66.32,2411.0,78.0,63.0,1.3056640625,111.31,2.258,34.86
6.51,16.08,2411.0,66.0,1.0,1.3056640625,110.96,2.59,36.9
6.58,15.89,2411.0,65.0,2.0,1.361328125,110.42,2.904,38.94
6.44,15.77,2411.0,65.0,1.0,1.361328125,109.87,3.214,40.98
6.04,88.58,2405.0,78.0,96.0,1.361328125,104.73,2.155,43.02
5.77,75.43,2405.0,78.0,96.0,1.33203125,107.14,2.158,45.08
6.32,76.74,2405.0,71.0,96.0,1.33203125,107.76,2.161,47.14
5.89,77.2,2411.0,77.0,96.0,1.30517578125,108.18,2.163,49.19
5.66,77.65,2405.0,80.0,92.0,1.30517578125,108.74,2.165,51.25
5.94,72.77,2405.0,72.0,50.0,1.30517578125,109.93,2.166,53.31
6.18,16.66,2411.0,68.0,1.0,1.2802734375,111.23,2.408,55.37
6.63,16.16,2411.0,66.0,1.0,1.2802734375,110.76,2.728,57.41
6.55,15.94,2411.0,66.0,1.0,1.33837890625,110.22,3.041,59.46
6.46,15.93,2411.0,65.0,2.0,1.33837890625,110.69,2.333,61.5
5.76,76.73,2418.0,74.0,96.0,1.3916015625,105.91,2.34,63.54
